"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","DECIMALS_DISPLAYED","GFS_STO","SECTOR","TRANSFORMATION","UNIT","OVERLAP","COUNTRY_COVERAGE","TIME_COVERAGE","DOI","FULL_DESCRIPTION","AUTHOR","PUBLISHER","DEPARTMENT","CONTACT_POINT","TOPIC","TOPIC_DATASET","KEYWORDS","KEYWORDS_DATASET","LANGUAGE","PUBLICATION_DATE","UPDATE_DATE","METHODOLOGY","METHODOLOGY_NOTES","ACCESS_SHARING_LEVEL","ACCESS_SHARING_NOTES","SECURITY_CLASSIFICATION","SHORT_SOURCE_CITATION","FULL_SOURCE_CITATION","LICENSE","SUGGESTED_CITATION","KEY_INDICATOR","SERIES_NAME","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"IMF.STA:ENVTX(1.0.2)","EGY.ECGTET_S13.POGDP_PT.A","OBS_VALUE","Egypt, Arab Republic of","Environmental taxes, Taxes on transport (excluding fuel for transport)","Percent of GDP","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Environmental Taxes; Public Spending","English","2026-04-06T17:15:18.520140900Z","2026-04-06T17:15:18.584519300Z","","Environmental taxes are a subset of taxes, as defined in the 2008 System of National Accounts and the Government Finance Statistics Manual 2014, whose tax base is a physical unit (or a proxy of it) of something that has a proven, specific, negative impact on the environment.","Public (Unrestricted)","","Public or Unrestricted","","Organisation for Economic Co-operation and Development. Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2023-06-17.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Environmental Taxes,  https://data.imf.org/en/datasets/IMF.STA:ENVTX. Accessed on [current date].","","","","","","","","","","0.0537","0.0495","0.0425","0.0732","0.0901","0.130826396","0.124031267","0.154020342","0.152254268","0.13219313","0.119006389","0.108412169","0.106976526","0.116264986","0.10138407","0.068","0.0745","0.101887062","0.0941","0.124775255",""
"IMF.STA:ENVTX(1.0.2)","GNQ.ECGTEP_S13.POGDP_PT.A","OBS_VALUE","Equatorial Guinea, Republic of","Environmental taxes, Taxes on pollution","Percent of GDP","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Environmental Taxes; Public Spending","English","2026-04-06T17:15:18.520140900Z","2026-04-06T17:15:18.584519300Z","","Environmental taxes are a subset of taxes, as defined in the 2008 System of National Accounts and the Government Finance Statistics Manual 2014, whose tax base is a physical unit (or a proxy of it) of something that has a proven, specific, negative impact on the environment.","Public (Unrestricted)","","Public or Unrestricted","","Organisation for Economic Co-operation and Development. Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2023-06-17.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Environmental Taxes,  https://data.imf.org/en/datasets/IMF.STA:ENVTX. Accessed on [current date].","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","","","",""
"IMF.STA:ENVTX(1.0.2)","LCA.ECGTEN_S13.POGDP_PT.A","OBS_VALUE","St. Lucia","Environmental taxes, Taxes on energy (including fuel for transport)","Percent of GDP","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Environmental Taxes; Public Spending","English","2026-04-06T17:15:18.520140900Z","2026-04-06T17:15:18.584519300Z","","Environmental taxes are a subset of taxes, as defined in the 2008 System of National Accounts and the Government Finance Statistics Manual 2014, whose tax base is a physical unit (or a proxy of it) of something that has a proven, specific, negative impact on the environment.","Public (Unrestricted)","","Public or Unrestricted","","Organisation for Economic Co-operation and Development. Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2023-06-17.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Environmental Taxes,  https://data.imf.org/en/datasets/IMF.STA:ENVTX. Accessed on [current date].","","","0","0","0.120680147","0.106500633","0.099","0.117037331","0.123029046","0.111934156","0.116654164","0.111458333","0.0907","0.100453738","0.0998","0.0927","0.10834891","0.0974","0.0921","0.0904","0.0848","0.160911263","0.297161594","0.424881354","0.383465334","0.365009626","0.367667098","0.449745925","0.435003513","0.398111461"
"IMF.STA:ENVTX(1.0.2)","DEU.ECGTEP_S13.POGDP_PT.A","OBS_VALUE","Germany","Environmental taxes, Taxes on pollution","Percent of GDP","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Environmental Taxes; Public Spending","English","2026-04-06T17:15:18.520140900Z","2026-04-06T17:15:18.584519300Z","","Environmental taxes are a subset of taxes, as defined in the 2008 System of National Accounts and the Government Finance Statistics Manual 2014, whose tax base is a physical unit (or a proxy of it) of something that has a proven, specific, negative impact on the environment.","Public (Unrestricted)","","Public or Unrestricted","","Organisation for Economic Co-operation and Development. Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2023-06-17.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Environmental Taxes,  https://data.imf.org/en/datasets/IMF.STA:ENVTX. Accessed on [current date].","","","0.0264","0.0207","0.0171","0.0183","0.0177","0.0181","0.0174","0.0188","0.0182","0.014572689","0.0148","0.0121","0.0108","0.00998","0.00941","0.0115","0.011","0.0107","0.0105","0.0101","0.00975","","","","","","",""
"IMF.STA:ENVTX(1.0.2)","ESP.ECGTEN_S13.POGDP_PT.A","OBS_VALUE","Spain","Environmental taxes, Taxes on energy (including fuel for transport)","Percent of GDP","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Environmental Taxes; Public Spending","English","2026-04-06T17:15:18.520140900Z","2026-04-06T17:15:18.584519300Z","","Environmental taxes are a subset of taxes, as defined in the 2008 System of National Accounts and the Government Finance Statistics Manual 2014, whose tax base is a physical unit (or a proxy of it) of something that has a proven, specific, negative impact on the environment.","Public (Unrestricted)","","Public or Unrestricted","","Organisation for Economic Co-operation and Development. Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2023-06-17.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Environmental Taxes,  https://data.imf.org/en/datasets/IMF.STA:ENVTX. Accessed on [current date].","","","","","","","","","","","","","","","","","","","","","","","1.617656193","1.540263096","1.525085764","1.518699449","","","",""
"IMF.STA:ENVTX(1.0.2)","FRA.ECGTE_S13.POGDP_PT.A","OBS_VALUE","France","Environmental taxes","Percent of GDP","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Environmental Taxes; Public Spending","English","2026-04-06T17:15:18.520140900Z","2026-04-06T17:15:18.584519300Z","","Environmental taxes are a subset of taxes, as defined in the 2008 System of National Accounts and the Government Finance Statistics Manual 2014, whose tax base is a physical unit (or a proxy of it) of something that has a proven, specific, negative impact on the environment.","Public (Unrestricted)","","Public or Unrestricted","","Organisation for Economic Co-operation and Development. Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2023-06-17.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Environmental Taxes,  https://data.imf.org/en/datasets/IMF.STA:ENVTX. Accessed on [current date].","","","2.447282407","2.49556401","2.455914671","2.469287519","2.410151442","2.307124771","2.194519542","2.294371699","2.237294504","2.302673855","2.253026114","2.210695988","2.116505955","2.086148225","2.125931228","2.171665358","2.19440732","2.203701257","2.285624949","2.276118552","2.430514112","2.756474671","2.806373904","2.890493233","2.937876261","2.757917744","2.734663193","2.281277045"
"IMF.STA:ENVTX(1.0.2)","SGP.ECGTER_S13.XDC.A","OBS_VALUE","Singapore","Environmental taxes, Taxes on resources","Domestic Currency","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Environmental Taxes; Public Spending","English","2026-04-06T17:15:18.520140900Z","2026-04-06T17:15:18.584519300Z","","Environmental taxes are a subset of taxes, as defined in the 2008 System of National Accounts and the Government Finance Statistics Manual 2014, whose tax base is a physical unit (or a proxy of it) of something that has a proven, specific, negative impact on the environment.","Public (Unrestricted)","","Public or Unrestricted","","Organisation for Economic Co-operation and Development. Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2023-06-17.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Environmental Taxes,  https://data.imf.org/en/datasets/IMF.STA:ENVTX. Accessed on [current date].","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","","","",""
"IMF.STA:ENVTX(1.0.2)","LCA.ECGTET_S13.XDC.A","OBS_VALUE","St. Lucia","Environmental taxes, Taxes on transport (excluding fuel for transport)","Domestic Currency","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Environmental Taxes; Public Spending","English","2026-04-06T17:15:18.520140900Z","2026-04-06T17:15:18.584519300Z","","Environmental taxes are a subset of taxes, as defined in the 2008 System of National Accounts and the Government Finance Statistics Manual 2014, whose tax base is a physical unit (or a proxy of it) of something that has a proven, specific, negative impact on the environment.","Public (Unrestricted)","","Public or Unrestricted","","Organisation for Economic Co-operation and Development. Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2023-06-17.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Environmental Taxes,  https://data.imf.org/en/datasets/IMF.STA:ENVTX. Accessed on [current date].","","","1035000","1574000","961000","3652000","5814000","7489000","6223000","2520000","5060000","6320000","7550000","10300000","12300000","22100000","17300000","17300000","16800000","15500000","17800000","15800000","15300000","17900000","37660000","36341000","46177000","15085000","24683000","30080000"
"IMF.STA:ENVTX(1.0.2)","DOM.ECGTER_S13.XDC.A","OBS_VALUE","Dominican Republic","Environmental taxes, Taxes on resources","Domestic Currency","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Environmental Taxes; Public Spending","English","2026-04-06T17:15:18.520140900Z","2026-04-06T17:15:18.584519300Z","","Environmental taxes are a subset of taxes, as defined in the 2008 System of National Accounts and the Government Finance Statistics Manual 2014, whose tax base is a physical unit (or a proxy of it) of something that has a proven, specific, negative impact on the environment.","Public (Unrestricted)","","Public or Unrestricted","","Organisation for Economic Co-operation and Development. Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2023-06-17.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Environmental Taxes,  https://data.imf.org/en/datasets/IMF.STA:ENVTX. Accessed on [current date].","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0",""
"IMF.STA:ENVTX(1.0.2)","CIV.ECGTET_S13.POGDP_PT.A","OBS_VALUE","Côte d'Ivoire","Environmental taxes, Taxes on transport (excluding fuel for transport)","Percent of GDP","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Environmental Taxes; Public Spending","English","2026-04-06T17:15:18.520140900Z","2026-04-06T17:15:18.584519300Z","","Environmental taxes are a subset of taxes, as defined in the 2008 System of National Accounts and the Government Finance Statistics Manual 2014, whose tax base is a physical unit (or a proxy of it) of something that has a proven, specific, negative impact on the environment.","Public (Unrestricted)","","Public or Unrestricted","","Organisation for Economic Co-operation and Development. Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR. Accessed on 2023-06-17.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Environmental Taxes,  https://data.imf.org/en/datasets/IMF.STA:ENVTX. Accessed on [current date].","","","0","0.0219","0.0223","0.0241","0.0372","0.0355","0.0406","0.0622","0.0464","0.0487","0.0469","0.0423","0.0447","0.0511","0.0612","0.0648","0.00897","0.067","0.0709","0.0701","0.076","0.0663","0.0622","0.063282582","0.0577","0.0537","0.0589",""
