"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","DECIMALS_DISPLAYED","COFOG","SECTOR","TRANSFORMATION","UNIT","OVERLAP","COUNTRY_COVERAGE","TIME_COVERAGE","DOI","FULL_DESCRIPTION","AUTHOR","PUBLISHER","DEPARTMENT","CONTACT_POINT","TOPIC","TOPIC_DATASET","KEYWORDS","KEYWORDS_DATASET","LANGUAGE","PUBLICATION_DATE","UPDATE_DATE","METHODOLOGY","METHODOLOGY_NOTES","ACCESS_SHARING_LEVEL","ACCESS_SHARING_NOTES","SECURITY_CLASSIFICATION","SHORT_SOURCE_CITATION","FULL_SOURCE_CITATION","LICENSE","SUGGESTED_CITATION","KEY_INDICATOR","SERIES_NAME","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"IMF.STA:GENENVPROEXP(1.0.2)","DOM.GF0550_S13.POGDP_PT.A","OBS_VALUE","Dominican Republic","R&D Environmental protection","Percent of GDP","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Public Spending","English","2026-04-06T17:14:50.772579100Z","2026-04-06T17:14:50.821559900Z","","Government expenditures on a specified set of activities including pollution abatement, protection of biodiversity landscape, waste and wastewater management, within the framework of the Classification of Functions of Government (COFOG).","Public (Unrestricted)","","Public or Unrestricted","","IMF Government Finance Statistics (GFS); International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire;.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Government Environmental Protection Expenditures,  https://data.imf.org/en/datasets/IMF.STA:GENENVPROEXP. Accessed on [current date].","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0"
"IMF.STA:GENENVPROEXP(1.0.2)","SVN.GF05_S13.XDC.A","OBS_VALUE","Slovenia, Republic of","Environmental protection","Domestic Currency","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Public Spending","English","2026-04-06T17:14:50.772579100Z","2026-04-06T17:14:50.821559900Z","","Government expenditures on a specified set of activities including pollution abatement, protection of biodiversity landscape, waste and wastewater management, within the framework of the Classification of Functions of Government (COFOG).","Public (Unrestricted)","","Public or Unrestricted","","IMF Government Finance Statistics (GFS); International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire;.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Government Environmental Protection Expenditures,  https://data.imf.org/en/datasets/IMF.STA:GENENVPROEXP. Accessed on [current date].","","","65838000","69193000","77638000","92714000","109410000","118126000","160281000","190925000","222016000","251141000","246759000","259255000","262701000","293013000","321609000","243770000","294619000","274708000","271412000","369416000","403864000","227763000","194414000","247986000","275123000","298982000","344602000",""
"IMF.STA:GENENVPROEXP(1.0.2)","CYP.GF0520_S13.POGDP_PT.A","OBS_VALUE","Cyprus","Waste water management","Percent of GDP","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Public Spending","English","2026-04-06T17:14:50.772579100Z","2026-04-06T17:14:50.821559900Z","","Government expenditures on a specified set of activities including pollution abatement, protection of biodiversity landscape, waste and wastewater management, within the framework of the Classification of Functions of Government (COFOG).","Public (Unrestricted)","","Public or Unrestricted","","IMF Government Finance Statistics (GFS); International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire;.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Government Environmental Protection Expenditures,  https://data.imf.org/en/datasets/IMF.STA:GENENVPROEXP. Accessed on [current date].","","","0.0013","0.00125","0.00239","0.00331","0.00308","0.00283","0.0035","0.00337","0.00389","0.00289","0.0027","0.00312","0.00685","0.00842","0.00643","0.00514","0.00353","0","0","0","0.0864","0","0.0473","0.023069009","0.022436617","0.0649","0.0903",""
"IMF.STA:GENENVPROEXP(1.0.2)","EGY.GF05_S13.POGDP_PT.A","OBS_VALUE","Egypt, Arab Republic of","Environmental protection","Percent of GDP","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Public Spending","English","2026-04-06T17:14:50.772579100Z","2026-04-06T17:14:50.821559900Z","","Government expenditures on a specified set of activities including pollution abatement, protection of biodiversity landscape, waste and wastewater management, within the framework of the Classification of Functions of Government (COFOG).","Public (Unrestricted)","","Public or Unrestricted","","IMF Government Finance Statistics (GFS); International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire;.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Government Environmental Protection Expenditures,  https://data.imf.org/en/datasets/IMF.STA:GENENVPROEXP. Accessed on [current date].","","","","","","","","","","0.0655","0.203193179","0.0862","0.0871","0.0635","0.105728341","0.0968","0.114888196","0.107826008","0.0803","0.0862","0.103063158","0.106284648","0.0983","","","","","","",""
"IMF.STA:GENENVPROEXP(1.0.2)","SLV.GF05_S13.XDC.A","OBS_VALUE","El Salvador","Environmental protection","Domestic Currency","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Public Spending","English","2026-04-06T17:14:50.772579100Z","2026-04-06T17:14:50.821559900Z","","Government expenditures on a specified set of activities including pollution abatement, protection of biodiversity landscape, waste and wastewater management, within the framework of the Classification of Functions of Government (COFOG).","Public (Unrestricted)","","Public or Unrestricted","","IMF Government Finance Statistics (GFS); International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire;.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Government Environmental Protection Expenditures,  https://data.imf.org/en/datasets/IMF.STA:GENENVPROEXP. Accessed on [current date].","","","","","","","","","","5200000","5400000","","21900000","","6300000","6200000","26900000","36100000","17900000","29793776.17","29600000","34400000","34100000","40200000","36900000","23200000","27100000","41500000","47000000",""
"IMF.STA:GENENVPROEXP(1.0.2)","CYP.GF0550_S13.POGDP_PT.A","OBS_VALUE","Cyprus","R&D Environmental protection","Percent of GDP","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Public Spending","English","2026-04-06T17:14:50.772579100Z","2026-04-06T17:14:50.821559900Z","","Government expenditures on a specified set of activities including pollution abatement, protection of biodiversity landscape, waste and wastewater management, within the framework of the Classification of Functions of Government (COFOG).","Public (Unrestricted)","","Public or Unrestricted","","IMF Government Finance Statistics (GFS); International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire;.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Government Environmental Protection Expenditures,  https://data.imf.org/en/datasets/IMF.STA:GENENVPROEXP. Accessed on [current date].","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"IMF.STA:GENENVPROEXP(1.0.2)","DNK.GF0550_S13.POGDP_PT.A","OBS_VALUE","Denmark","R&D Environmental protection","Percent of GDP","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Public Spending","English","2026-04-06T17:14:50.772579100Z","2026-04-06T17:14:50.821559900Z","","Government expenditures on a specified set of activities including pollution abatement, protection of biodiversity landscape, waste and wastewater management, within the framework of the Classification of Functions of Government (COFOG).","Public (Unrestricted)","","Public or Unrestricted","","IMF Government Finance Statistics (GFS); International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire;.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Government Environmental Protection Expenditures,  https://data.imf.org/en/datasets/IMF.STA:GENENVPROEXP. Accessed on [current date].","","","0.0238","0.0222","0.0428","0.0451","0.0423","0.0421","0.121908006","0.150609244","0.149434384","0.119189749","0.132094732","0.113716072","0.145556306","0.038","0.0445","0.0434","0.0401","0.0405","0.0403","0.0369","0.0183","0.0199","0.0206","0.0199","0.0186","0.019432016","0.0151","0.0155"
"IMF.STA:GENENVPROEXP(1.0.2)","HRV.GF05_S13.XDC.A","OBS_VALUE","Croatia, Republic of","Environmental protection","Domestic Currency","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Public Spending","English","2026-04-06T17:14:50.772579100Z","2026-04-06T17:14:50.821559900Z","","Government expenditures on a specified set of activities including pollution abatement, protection of biodiversity landscape, waste and wastewater management, within the framework of the Classification of Functions of Government (COFOG).","Public (Unrestricted)","","Public or Unrestricted","","IMF Government Finance Statistics (GFS); International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire;.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Government Environmental Protection Expenditures,  https://data.imf.org/en/datasets/IMF.STA:GENENVPROEXP. Accessed on [current date].","","","119046000","120900000","134404000","157032000","172552000","158874000","153135000","172972000","175225000","192219000","195532000","196621000","251802000","269560000","289326000","261585000","248391000","257951000","285508000","287890000","380278000","528389000","451690000","507311000","592154000","655443000","867608000",""
"IMF.STA:GENENVPROEXP(1.0.2)","GEO.GF0550_S13.XDC.A","OBS_VALUE","Georgia","R&D Environmental protection","Domestic Currency","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Public Spending","English","2026-04-06T17:14:50.772579100Z","2026-04-06T17:14:50.821559900Z","","Government expenditures on a specified set of activities including pollution abatement, protection of biodiversity landscape, waste and wastewater management, within the framework of the Classification of Functions of Government (COFOG).","Public (Unrestricted)","","Public or Unrestricted","","IMF Government Finance Statistics (GFS); International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire;.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Government Environmental Protection Expenditures,  https://data.imf.org/en/datasets/IMF.STA:GENENVPROEXP. Accessed on [current date].","","","","","0","0","0","0","0","0","0","0","0","1200000","1600000","1200000","1200000","1000000","0","0","0","0","0","0","0","0","0","0","0","0"
"IMF.STA:GENENVPROEXP(1.0.2)","DNK.GF0520_S13.POGDP_PT.A","OBS_VALUE","Denmark","Waste water management","Percent of GDP","Annual","Units","","","","","","","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","Environment and climate","","Climate Policy; Public Spending","English","2026-04-06T17:14:50.772579100Z","2026-04-06T17:14:50.821559900Z","","Government expenditures on a specified set of activities including pollution abatement, protection of biodiversity landscape, waste and wastewater management, within the framework of the Classification of Functions of Government (COFOG).","Public (Unrestricted)","","Public or Unrestricted","","IMF Government Finance Statistics (GFS); International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire;.","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. Government Environmental Protection Expenditures,  https://data.imf.org/en/datasets/IMF.STA:GENENVPROEXP. Accessed on [current date].","","","0.00106","0.0011","0.000873","0.000675","0.000725","0.000151","0.0000729","0.000567","0.00118","0.00199","0.000946","0.00648","0.00242","0.00133","0.00145","0.00712","0.00661","0.00686","0.00705","0.00737","0.00761","0.00906","0.01","0.0103","0.0119","0.0145","0.0136","0.0116"
