STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,COMMENT_OBS,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,GRD,Grenada,WB_MPO_NECONGOVTKNZ,"Government Consumption, Volume, Millions LCU, % change",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PC,Percentage change,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,_Z,Not Applicable,_Z,Not Applicable,1980,,WB_MPO,Macro Poverty Outlook,0,Units,RATIO,Ratio,602,CCYY,,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,GRD,Grenada,WB_MPO_NECONGOVTKNZ,"Government Consumption, Volume, Millions LCU, % change",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PC,Percentage change,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,_Z,Not Applicable,_Z,Not Applicable,1981,,WB_MPO,Macro Poverty Outlook,0,Units,RATIO,Ratio,602,CCYY,,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,GRD,Grenada,WB_MPO_NECONGOVTKNZ,"Government Consumption, Volume, Millions LCU, % change",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PC,Percentage change,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,_Z,Not Applicable,_Z,Not Applicable,1982,,WB_MPO,Macro Poverty Outlook,0,Units,RATIO,Ratio,602,CCYY,,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,GRD,Grenada,WB_MPO_NECONGOVTKNZ,"Government Consumption, Volume, Millions LCU, % change",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PC,Percentage change,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,_Z,Not Applicable,_Z,Not Applicable,1983,,WB_MPO,Macro Poverty Outlook,0,Units,RATIO,Ratio,602,CCYY,,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,GRD,Grenada,WB_MPO_NECONGOVTKNZ,"Government Consumption, Volume, Millions LCU, % change",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PC,Percentage change,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,_Z,Not Applicable,_Z,Not Applicable,1984,,WB_MPO,Macro Poverty Outlook,0,Units,RATIO,Ratio,602,CCYY,,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,GRD,Grenada,WB_MPO_NECONGOVTKNZ,"Government Consumption, Volume, Millions LCU, % change",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PC,Percentage change,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,_Z,Not Applicable,_Z,Not Applicable,1985,,WB_MPO,Macro Poverty Outlook,0,Units,RATIO,Ratio,602,CCYY,,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,GRD,Grenada,WB_MPO_NECONGOVTKNZ,"Government Consumption, Volume, Millions LCU, % change",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PC,Percentage change,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,_Z,Not Applicable,_Z,Not Applicable,1986,,WB_MPO,Macro Poverty Outlook,0,Units,RATIO,Ratio,602,CCYY,,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,GRD,Grenada,WB_MPO_NECONGOVTKNZ,"Government Consumption, Volume, Millions LCU, % change",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PC,Percentage change,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,_Z,Not Applicable,_Z,Not Applicable,1987,,WB_MPO,Macro Poverty Outlook,0,Units,RATIO,Ratio,602,CCYY,,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,GRD,Grenada,WB_MPO_NECONGOVTKNZ,"Government Consumption, Volume, Millions LCU, % change",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PC,Percentage change,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,_Z,Not Applicable,_Z,Not Applicable,1988,,WB_MPO,Macro Poverty Outlook,0,Units,RATIO,Ratio,602,CCYY,,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,GRD,Grenada,WB_MPO_NECONGOVTKNZ,"Government Consumption, Volume, Millions LCU, % change",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PC,Percentage change,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,_Z,Not Applicable,_Z,Not Applicable,1989,,WB_MPO,Macro Poverty Outlook,0,Units,RATIO,Ratio,602,CCYY,,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,GRD,Grenada,WB_MPO_NECONGOVTKNZ,"Government Consumption, Volume, Millions LCU, % change",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PC,Percentage change,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,_Z,Not Applicable,_Z,Not Applicable,1990,,WB_MPO,Macro Poverty Outlook,0,Units,RATIO,Ratio,602,CCYY,,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,GRD,Grenada,WB_MPO_NECONGOVTKNZ,"Government Consumption, Volume, Millions LCU, % change",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PC,Percentage change,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,_Z,Not Applicable,_Z,Not Applicable,1991,,WB_MPO,Macro Poverty Outlook,0,Units,RATIO,Ratio,602,CCYY,,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,GRD,Grenada,WB_MPO_NECONGOVTKNZ,"Government Consumption, Volume, Millions LCU, % change",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PC,Percentage change,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,_Z,Not Applicable,_Z,Not Applicable,1992,,WB_MPO,Macro Poverty Outlook,0,Units,RATIO,Ratio,602,CCYY,,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,GRD,Grenada,WB_MPO_NECONGOVTKNZ,"Government Consumption, Volume, Millions LCU, % change",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PC,Percentage change,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,_Z,Not Applicable,_Z,Not Applicable,1993,,WB_MPO,Macro Poverty Outlook,0,Units,RATIO,Ratio,602,CCYY,,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,GRD,Grenada,WB_MPO_NECONGOVTKNZ,"Government Consumption, Volume, Millions LCU, % change",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PC,Percentage change,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,_Z,Not Applicable,_Z,Not Applicable,1994,,WB_MPO,Macro Poverty Outlook,0,Units,RATIO,Ratio,602,CCYY,,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,GRD,Grenada,WB_MPO_NECONGOVTKNZ,"Government Consumption, Volume, Millions LCU, % change",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PC,Percentage change,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,_Z,Not Applicable,_Z,Not Applicable,1995,,WB_MPO,Macro Poverty Outlook,0,Units,RATIO,Ratio,602,CCYY,,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,GRD,Grenada,WB_MPO_NECONGOVTKNZ,"Government Consumption, Volume, Millions LCU, % change",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PC,Percentage change,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,_Z,Not Applicable,_Z,Not Applicable,1996,,WB_MPO,Macro Poverty Outlook,0,Units,RATIO,Ratio,602,CCYY,,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,GRD,Grenada,WB_MPO_NECONGOVTKNZ,"Government Consumption, Volume, Millions LCU, % change",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PC,Percentage change,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,_Z,Not Applicable,_Z,Not Applicable,1997,,WB_MPO,Macro Poverty Outlook,0,Units,RATIO,Ratio,602,CCYY,,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,GRD,Grenada,WB_MPO_NECONGOVTKNZ,"Government Consumption, Volume, Millions LCU, % change",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PC,Percentage change,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,_Z,Not Applicable,_Z,Not Applicable,1998,,WB_MPO,Macro Poverty Outlook,0,Units,RATIO,Ratio,602,CCYY,,O,Missing value,PU,Public
