STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,COMMENT_OBS,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,GRD,Grenada,WB_MPO_NVSRVTOTLKN,"Services, Volume, Millions LCU",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,_Z,Not Applicable,_Z,Not Applicable,1980,435.21,WB_MPO,Macro Poverty Outlook,6,Millions,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,GRD,Grenada,WB_MPO_NVSRVTOTLKN,"Services, Volume, Millions LCU",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,_Z,Not Applicable,_Z,Not Applicable,1981,430.69,WB_MPO,Macro Poverty Outlook,6,Millions,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,GRD,Grenada,WB_MPO_NVSRVTOTLKN,"Services, Volume, Millions LCU",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,_Z,Not Applicable,_Z,Not Applicable,1982,454.339999999999,WB_MPO,Macro Poverty Outlook,6,Millions,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,GRD,Grenada,WB_MPO_NVSRVTOTLKN,"Services, Volume, Millions LCU",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,_Z,Not Applicable,_Z,Not Applicable,1983,480.69,WB_MPO,Macro Poverty Outlook,6,Millions,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,GRD,Grenada,WB_MPO_NVSRVTOTLKN,"Services, Volume, Millions LCU",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,_Z,Not Applicable,_Z,Not Applicable,1984,499.99,WB_MPO,Macro Poverty Outlook,6,Millions,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,GRD,Grenada,WB_MPO_NVSRVTOTLKN,"Services, Volume, Millions LCU",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,_Z,Not Applicable,_Z,Not Applicable,1985,531.92,WB_MPO,Macro Poverty Outlook,6,Millions,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,GRD,Grenada,WB_MPO_NVSRVTOTLKN,"Services, Volume, Millions LCU",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,_Z,Not Applicable,_Z,Not Applicable,1986,587.46,WB_MPO,Macro Poverty Outlook,6,Millions,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,GRD,Grenada,WB_MPO_NVSRVTOTLKN,"Services, Volume, Millions LCU",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,_Z,Not Applicable,_Z,Not Applicable,1987,622.65,WB_MPO,Macro Poverty Outlook,6,Millions,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,GRD,Grenada,WB_MPO_NVSRVTOTLKN,"Services, Volume, Millions LCU",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,_Z,Not Applicable,_Z,Not Applicable,1988,629.159999999999,WB_MPO,Macro Poverty Outlook,6,Millions,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,GRD,Grenada,WB_MPO_NVSRVTOTLKN,"Services, Volume, Millions LCU",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,_Z,Not Applicable,_Z,Not Applicable,1989,650.0,WB_MPO,Macro Poverty Outlook,6,Millions,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,GRD,Grenada,WB_MPO_NVSRVTOTLKN,"Services, Volume, Millions LCU",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,_Z,Not Applicable,_Z,Not Applicable,1990,688.27,WB_MPO,Macro Poverty Outlook,6,Millions,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,GRD,Grenada,WB_MPO_NVSRVTOTLKN,"Services, Volume, Millions LCU",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,WB_MPO_VINTAGE_SM_2024,Vintage: 2024 Spring Meetings,_Z,Not Applicable,_Z,Not Applicable,1991,701.68,WB_MPO,Macro Poverty Outlook,6,Millions,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
