Reporter,Partner,Flow,Item_code,type_Item,Year,Reported_value,Final_value,Final_value_methodology,Balanced_value
888,CH,X,S,s,2008,,119.274316,E8.2,73.820941
888,CH,X,SA,s,2008,,11.235298,E8.2,6.827172
888,CH,X,SB,s,2008,,0.345858,M2.2,0.032075
888,CH,X,SC,s,2008,,11.404188,E8.2,9.960271
888,CH,X,SD,s,2008,,56.216541,E8.2,46.641675
888,CH,X,SE,s,2008,,2.576123,E8.2,0.141653
888,CH,X,SF,s,2008,,5.229923,E8.2,1.173791
888,CH,X,SG,s,2008,,0.853207,E8.2,0.303355
888,CH,X,SH,s,2008,,0.224103,E8.2,0.346064
888,CH,X,SI,s,2008,,11.984005,E8.2,1.003617
888,CH,X,SJ,s,2008,,6.11945,E8.2,3.127923
888,CH,X,SK,s,2008,,0.163068,E8.2,0.06274
888,CH,X,SL,s,2008,,12.922553,E8.2,4.200605
888,CH,X,S,s,2009,,140.383124,E8.2,82.474561
888,CH,X,SA,s,2009,,0.300122,E8.2,0.182482
888,CH,X,SB,s,2009,,0.0,W0,0.025709
888,CH,X,SC,s,2009,,8.966942,E8.2,9.968153
888,CH,X,SD,s,2009,,94.594486,E8.2,62.459333
888,CH,X,SE,s,2009,,4.29583,E8.2,0.211639
888,CH,X,SF,s,2009,,4.958026,E8.2,1.053593
888,CH,X,SG,s,2009,,1.018613,E8.2,0.339047
888,CH,X,SH,s,2009,,0.341418,E8.2,0.589736
888,CH,X,SI,s,2009,,11.648308,E8.2,1.083094
888,CH,X,SJ,s,2009,,6.288015,E8.2,3.460466
888,CH,X,SK,s,2009,,0.106618,E8.2,0.054748
888,CH,X,SL,s,2009,,7.864746,E8.2,3.04656
888,CH,X,S,s,2010,,146.082957,E8.2,86.095518
888,CH,X,SA,s,2010,,0.447136,E8.2,0.270138
888,CH,X,SB,s,2010,,0.0,W0,0.02958
888,CH,X,SC,s,2010,,8.545835,E8.2,10.739154
888,CH,X,SD,s,2010,,100.410597,E8.2,64.557599
888,CH,X,SE,s,2010,,1.412012,E8.2,0.072767
888,CH,X,SF,s,2010,,4.628038,E8.2,0.945138
888,CH,X,SG,s,2010,,0.654313,E8.2,0.254353
888,CH,X,SH,s,2010,,0.163727,E8.2,0.694647
888,CH,X,SI,s,2010,,11.792394,E8.2,1.114364
888,CH,X,SJ,s,2010,,12.859709,E8.2,5.218423
888,CH,X,SK,s,2010,,0.0,W0,0.044598
888,CH,X,SL,s,2010,,5.169198,E8.2,2.154758
888,CH,X,S,s,2011,,218.821405,E8.2,123.437235
888,CH,X,SA,s,2011,,0.524323,E8.2,0.298249
888,CH,X,SB,s,2011,,0.0,W0,0.0451
888,CH,X,SC,s,2011,,6.909462,E8.2,13.963492
888,CH,X,SD,s,2011,,167.137751,E8.2,95.204646
888,CH,X,SE,s,2011,,3.309417,E8.2,0.154644
888,CH,X,SF,s,2011,,3.928651,E8.2,0.800553
888,CH,X,SG,s,2011,,0.063254,E8.2,0.151852
888,CH,X,SH,s,2011,,0.0,W0,1.433461
888,CH,X,SI,s,2011,,11.014114,E8.2,1.236756
888,CH,X,SJ,s,2011,,22.231427,E8.2,8.150744
888,CH,X,SK,s,2011,,0.0,W0,0.071313
888,CH,X,SL,s,2011,,3.703006,E8.2,1.926425
888,CH,X,S,s,2012,,219.401305,E8.2,133.243331
888,CH,X,SA,s,2012,,0.275633,E8.2,0.156842
888,CH,X,SB,s,2012,,0.0,W0,0.021737
888,CH,X,SC,s,2012,,6.691259,E8.2,8.257859
888,CH,X,SD,s,2012,,174.844456,E8.2,111.790201
